********************************************************************************

Well:		BILABRI D4
Path:		Original Path
Hole:		
Start:		1200.00(m)
End:			1531.00(m)
Date/Time:	Tuesday, December 19, 2006 /05:30:11
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

1364.50                 1364.45                 24.00                   57.1                    0.646                   0.610                   144.0                   
1364.75                 1364.61                 22.34                   27.5                    0.631                   0.590                   144.1                   
1365.00                 1364.75                 20.84                   37.1                    0.611                   0.564                   144.1                   
1365.25                 1365.05                 22.10                   57.8                    0.608                   0.595                   144.2                   
1365.50                 1365.36                 18.28                   51.3                    0.603                   0.646                   144.2                   
1365.75                 1365.66                 20.02                   42.4                    0.599                   0.636                   144.3                   
1366.00                 1365.96                 20.88                   32.9                    0.596                   0.627                   144.3                   
1366.25                 1366.10                 22.68                   25.1                    0.592                   0.618                   144.4                   
1366.50                 1366.27                 24.90                   25.0                    0.589                   0.610                   144.5                   
1366.75                 1366.57                 35.23                   24.8                    0.587                   0.596                   144.5                   
1367.00                 1366.87                 20.64                   24.7                    0.586                   0.583                   144.6                   
1367.25                 1367.18                 19.27                   24.6                    0.585                   0.577                   144.6                   
1367.50                 1367.34                 21.01                   33.3                    0.592                   0.546                   144.7                   
1367.75                 1367.48                 22.44                   38.6                    0.605                   0.552                   144.7                   
1368.00                 1367.78                 20.80                   45.8                    0.618                   0.559                   144.8                   
1368.25                 1368.08                 21.07                   50.8                    0.629                   0.564                   144.8                   
1368.50                 1368.39                 21.08                   54.0                    0.680                   0.664                   144.9                   
1368.75                 1368.69                 22.89                   67.9                    0.724                   0.751                   144.9                   
1369.00                 1368.83                 22.76                   76.6                    0.751                   0.803                   145.0                   
1369.25                 1368.99                 22.62                   77.5                    0.741                   0.771                   145.0                   
1369.50                 1369.30                 23.76                   78.5                    0.735                   0.749                   145.1                   
1369.75                 1369.60                 24.47                   72.7                    0.728                   0.726                   145.1                   
1370.00                 1369.90                 21.46                   64.5                    0.721                   0.704                   145.2                   
1370.25                 1370.07                 24.18                   56.3                    0.713                   0.676                   145.2                   
1370.50                 1370.20                 26.22                   48.1                    0.694                   0.673                   145.3                   
1370.75                 1370.51                 30.06                   40.0                    0.664                   0.668                   145.3                   
1371.00                 1370.81                 27.59                   33.3                    0.657                   0.653                   145.4                   
1371.25                 1371.11                 22.38                   26.7                    0.662                   0.651                   145.4                   
1371.50                 1371.41                 21.89                   23.6                    0.672                   0.646                   145.4                   
1371.75                 1371.56                 21.88                   26.5                    0.688                   0.708                   145.4                   
1372.00                 1371.72                 21.86                   31.3                    0.711                   0.710                   145.4                   
1372.25                 1372.02                 20.78                   47.6                    0.744                   0.713                   145.4                   
1372.50                 1372.32                 21.67                   74.2                    0.781                   0.716                   145.4                   
1372.75                 1372.62                 23.44                   80.7                    0.796                   0.743                   145.4                   
1373.00                 1372.93                 28.71                   87.2                    0.813                   0.773                   145.4                   
1373.25                 1373.05                 26.70                   78.7                    0.829                   0.803                   145.4                   
1373.50                 1373.23                 23.85                   70.2                    0.830                   0.793                   145.4                   
1373.75                 1373.53                 22.41                   65.1                    0.847                   0.773                   145.4                   
1374.00                 1373.83                 27.86                   68.6                    0.859                   0.759                   145.4                   
1374.25                 1374.14                 36.29                   71.3                    0.867                   0.749                   145.4                   
1374.50                 1374.29                 40.17                   85.8                    0.901                   1.049                   145.4                   
1374.75                 1374.44                 43.83                   105.0                   0.877                   0.961                   145.4                   
1375.00                 1374.74                 42.60                   87.9                    0.849                   0.861                   145.4                   
1375.25                 1375.04                 48.60                   68.9                    0.778                   0.978                   145.4                   
1375.50                 1375.35                 29.53                   64.3                    0.775                   0.959                   145.4                   
1375.75                 1375.65                 33.26                   52.8                    0.771                   0.928                   145.4                   
1376.00                 1375.78                 37.61                   69.6                    0.766                   0.897                   145.4                   
1376.25                 1375.95                 43.26                   67.9                    0.762                   0.866                   145.4                   
1376.50                 1376.25                 47.22                   66.2                    0.758                   0.835                   145.4                   
1376.75                 1376.55                 42.24                   64.5                    0.753                   0.803                   145.4                   
1377.00                 1376.86                 37.06                   62.8                    0.749                   0.772                   145.4                   
1377.25                 1377.02                 34.68                   60.7                    0.744                   0.741                   145.4                   
1377.50                 1377.16                 32.62                   61.6                    0.740                   0.710                   145.4                   
1377.75                 1377.46                 24.05                   62.8                    0.735                   0.679                   145.4                   
1378.00                 1377.76                 31.98                   64.0                    0.731                   0.648                   145.4                   
1378.25                 1378.07                 37.10                   65.2                    0.726                   0.616                   145.4                   
1378.50                 1378.37                 31.12                   66.3                    0.720                   0.570                   145.4                   
1378.75                 1378.51                 31.20                   67.5                    0.718                   0.626                   145.4                   
1379.00                 1378.67                 31.29                   68.7                    0.715                   0.732                   145.4                   
1379.25                 1378.97                 27.24                   69.9                    0.711                   0.839                   145.4                   
1379.50                 1379.27                 26.77                   71.3                    0.708                   0.945                   145.4                   
1379.75                 1379.58                 24.06                   65.0                    0.705                   1.013                   145.4                   
1380.00                 1379.74                 23.23                   57.0                    0.662                   0.753                   145.4                   
1380.25                 1379.88                 22.59                   46.3                    0.641                   0.631                   145.4                   
1380.50                 1380.18                 20.63                   44.3                    0.629                   0.613                   145.4                   
1380.75                 1380.48                 19.10                   41.2                    0.620                   0.599                   145.2                   
1381.00                 1380.78                 17.96                   38.2                    0.610                   0.585                   145.1                   
1381.25                 1381.09                 22.32                   35.7                    0.600                   0.570                   145.0                   
1381.50                 1381.23                 23.24                   37.5                    0.603                   0.589                   144.9                   
1381.75                 1381.39                 24.23                   39.1                    0.606                   0.617                   144.8                   
1382.00                 1381.69                 25.04                   41.0                    0.608                   0.617                   144.6                   
1382.25                 1381.99                 30.90                   38.8                    0.610                   0.617                   144.5                   
1382.50                 1382.29                 30.43                   36.1                    0.613                   0.617                   144.4                   
1382.75                 1382.47                 30.24                   33.7                    0.614                   0.612                   144.3                   
1383.00                 1382.59                 30.10                   38.6                    0.616                   0.601                   144.2                   
1383.25                 1382.90                 29.34                   42.9                    0.618                   0.590                   144.0                   
1383.50                 1383.20                 25.04                   48.2                    0.620                   0.612                   143.9                   
1383.75                 1383.46                 30.62                   48.5                    0.623                   0.636                   143.8                   
1384.00                 1383.71                 35.92                   49.0                    0.625                   0.661                   143.7                   
1384.25                 1383.95                 41.23                   49.4                    0.627                   0.685                   143.6                   
1384.50                 1384.20                 46.53                   49.8                    0.629                   0.710                   143.4                   
1384.75                 1384.45                 51.84                   50.1                    0.632                   0.740                   143.3                   
1385.00                 1384.71                 57.38                   47.1                    0.640                   0.697                   143.2                   
1385.25                 1385.01                 48.05                   44.7                    0.650                   0.641                   143.1                   
1385.50                 1385.31                 30.51                   41.5                    0.657                   0.603                   142.9                   
1385.75                 1385.44                 25.11                   46.8                    0.708                   0.688                   142.8                   
1386.00                 1385.61                 17.77                   55.1                    0.747                   0.751                   142.7                   
1386.25                 1385.91                 10.50                   60.2                    0.784                   0.812                   142.6                   
1386.50                 1386.21                 20.40                   72.8                    0.828                   0.911                   142.7                   
1386.75                 1386.52                 40.69                   82.0                    0.871                   1.005                   142.7                   
1387.00                 1386.67                 45.93                   91.1                    0.896                   1.061                   142.7                   
1387.25                 1386.82                 50.68                   95.9                    0.890                   0.999                   142.8                   
1387.50                 1387.12                 46.01                   82.6                    0.887                   0.955                   142.8                   
1387.75                 1387.42                 45.15                   72.3                    0.881                   0.891                   142.8                   
1388.00                 1387.72                 39.23                   75.6                    0.892                   0.919                   142.9                   
1388.25                 1388.02                 43.06                   79.5                    0.911                   0.969                   142.9                   
1388.50                 1388.16                 45.69                   85.3                    0.927                   1.013                   142.9                   
1388.75                 1388.32                 48.96                   87.0                    0.966                   1.042                   143.0                   
1389.00                 1388.63                 56.31                   90.2                    1.001                   1.068                   143.0                   
1389.25                 1388.93                 52.68                   93.4                    1.035                   1.094                   143.0                   
1389.50                 1389.23                 50.96                   97.8                    1.070                   1.119                   143.1                   
1389.75                 1389.39                 47.82                   97.2                    1.095                   1.138                   143.1                   
1390.00                 1389.53                 45.22                   96.2                    1.074                   1.145                   143.1                   
1390.25                 1389.83                 41.96                   95.2                    1.059                   1.151                   143.2                   
1390.50                 1390.13                 40.64                   94.4                    0.985                   1.007                   143.2                   
1390.75                 1390.43                 37.49                   92.0                    0.912                   0.866                   143.2                   
1391.00                 1390.73                 39.52                   90.1                    0.840                   0.726                   143.3                   
1391.25                 1390.88                 39.05                   88.7                    0.757                   0.564                   143.3                   
1391.50                 1391.04                 38.52                   74.5                    0.692                   0.550                   143.3                   
1391.75                 1391.34                 39.18                   63.2                    0.614                   0.533                   143.4                   
1392.00                 1391.64                 45.14                   51.1                    0.564                   0.522                   143.4                   
1392.25                 1391.94                 61.81                   46.2                    0.551                   0.518                   143.4                   
1392.50                 1392.11                 62.13                   40.9                    0.541                   0.515                   143.5                   
1392.75                 1392.24                 62.37                   35.7                    0.531                   0.512                   143.5                   
1393.00                 1392.54                 60.66                   31.3                    0.526                   0.511                   143.5                   
1393.25                 1392.84                 52.39                   31.5                    0.525                   0.508                   143.6                   
1393.50                 1393.14                 53.51                   31.7                    0.524                   0.505                   143.6                   
1393.75                 1393.44                 46.92                   31.8                    0.526                   0.512                   143.6                   
1394.00                 1393.59                 44.17                   30.4                    0.528                   0.520                   143.7                   
1394.25                 1393.75                 41.31                   29.4                    0.530                   0.528                   143.7                   
1394.50                 1394.05                 43.91                   30.8                    0.531                   0.534                   143.7                   
1394.75                 1394.35                 45.41                   32.1                    0.529                   0.522                   143.8                   
1395.00                 1394.65                 50.52                   33.4                    0.529                   0.517                   143.8                   
1395.25                 1394.95                 48.22                   35.2                    0.529                   0.511                   143.8                   
1395.50                 1395.07                 46.42                   35.0                    0.531                   0.516                   143.9                   
1395.75                 1395.25                 43.86                   33.7                    0.536                   0.524                   143.9                   
1396.00                 1395.55                 41.99                   30.6                    0.545                   0.535                   143.9                   
1396.25                 1395.85                 39.44                   26.8                    0.553                   0.547                   144.0                   
1396.50                 1396.15                 41.04                   23.0                    0.562                   0.558                   144.0                   
1396.75                 1396.31                 42.05                   19.8                    0.571                   0.570                   144.0                   
1397.00                 1396.45                 43.01                   18.8                    0.573                   0.575                   144.1                   
1397.25                 1396.75                 53.63                   18.0                    0.576                   0.581                   144.1                   
1397.50                 1397.05                 51.13                   16.9                    0.578                   0.586                   144.1                   
1397.75                 1397.36                 46.99                   16.8                    0.581                   0.591                   144.2                   
1398.00                 1397.66                 44.67                   16.7                    0.583                   0.596                   144.2                   
1398.25                 1397.79                 44.50                   16.6                    0.585                   0.602                   144.2                   
1398.50                 1397.96                 44.28                   16.6                    0.588                   0.607                   144.3                   
1398.75                 1398.26                 42.73                   16.5                    0.590                   0.612                   144.3                   
1399.00                 1398.56                 41.23                   16.4                    0.592                   0.617                   144.3                   
1399.25                 1398.86                 45.52                   16.3                    0.588                   0.619                   144.4                   
1399.50                 1399.02                 44.18                   16.2                    0.585                   0.620                   144.4                   
1399.75                 1399.16                 43.02                   16.1                    0.581                   0.622                   144.4                   
1400.00                 1399.46                 47.33                   16.0                    0.577                   0.623                   144.5                   
1400.25                 1399.76                 52.41                   15.9                    0.574                   0.624                   144.5                   
1400.50                 1400.06                 51.60                   18.5                    0.561                   0.583                   144.5                   
1400.75                 1400.36                 47.90                   21.7                    0.547                   0.540                   144.6                   
1401.00                 1400.50                 44.38                   22.2                    0.546                   0.540                   144.6                   
1401.25                 1400.66                 40.20                   23.0                    0.546                   0.536                   144.6                   
1401.50                 1400.96                 43.65                   19.3                    0.549                   0.543                   144.7                   
1401.75                 1401.26                 41.25                   15.5                    0.550                   0.558                   144.7                   
1402.00                 1401.56                 33.20                   15.9                    0.553                   0.566                   144.7                   
1402.25                 1401.73                 35.71                   16.4                    0.558                   0.577                   144.7                   
1402.50                 1401.86                 37.71                   16.9                    0.561                   0.556                   144.8                   
1402.75                 1402.16                 50.30                   20.3                    0.565                   0.528                   144.8                   
1403.00                 1402.46                 53.50                   25.1                    0.569                   0.544                   144.8                   
1403.25                 1402.76                 32.67                   23.2                    0.572                   0.558                   144.9                   
1403.50                 1403.06                 27.76                   21.2                    0.572                   0.558                   144.9                   
1403.75                 1403.21                 30.29                   50.1                    0.580                   0.608                   144.9                   
1404.00                 1403.36                 33.05                   40.2                    0.580                   0.598                   145.0                   
1404.25                 1403.66                 40.47                   32.8                    0.581                   0.566                   145.0                   
1404.50                 1403.96                 41.65                   28.3                    0.585                   0.568                   145.0                   
1404.75                 1404.26                 38.59                   39.4                    0.588                   0.571                   145.1                   
1405.00                 1404.44                 40.95                   38.1                    0.591                   0.573                   145.1                   
1405.25                 1404.56                 42.66                   36.9                    0.594                   0.575                   145.1                   
1405.50                 1404.86                 46.48                   35.7                    0.597                   0.577                   145.2                   
1405.75                 1405.16                 48.84                   34.4                    0.600                   0.580                   145.2                   
1406.00                 1405.46                 63.70                   33.2                    0.603                   0.582                   145.2                   
1406.25                 1405.76                 79.62                   32.0                    0.606                   0.584                   145.3                   
1406.50                 1405.91                 67.06                   30.7                    0.610                   0.586                   145.3                   
1406.75                 1406.06                 54.57                   29.5                    0.613                   0.588                   145.4                   
1407.00                 1406.36                 41.74                   28.3                    0.616                   0.591                   145.4                   
1407.25                 1406.66                 34.89                   27.0                    0.619                   0.593                   145.4                   
1407.50                 1406.96                 41.68                   32.3                    0.622                   0.595                   145.4                   
1407.75                 1407.26                 61.23                   25.6                    0.625                   0.597                   145.4                   
1408.00                 1407.39                 64.98                   22.6                    0.628                   0.600                   145.4                   
1408.25                 1407.56                 70.11                   20.7                    0.631                   0.602                   145.4                   
1408.50                 1407.86                 59.82                   20.3                    0.635                   0.604                   145.4                   
1408.75                 1408.16                 49.14                   20.7                    0.638                   0.606                   145.4                   
1409.00                 1408.46                 40.53                   21.1                    0.641                   0.608                   145.4                   
1409.25                 1408.62                 35.82                   21.4                    0.644                   0.611                   145.4                   
1409.50                 1408.76                 31.54                   21.8                    0.647                   0.613                   145.4                   
1409.75                 1409.06                 18.48                   22.1                    0.650                   0.615                   145.4                   
1410.00                 1409.36                 10.04                   22.5                    0.653                   0.617                   145.4                   
1410.25                 1409.66                 12.23                   22.8                    0.690                   0.716                   145.4                   
1410.50                 1409.96                 14.86                   23.2                    0.726                   0.813                   145.4                   
1410.75                 1410.09                 17.75                   23.6                    0.776                   0.945                   145.4                   
1411.00                 1410.26                 21.35                   25.5                    0.781                   0.926                   145.4                   
1411.25                 1410.56                 29.44                   28.4                    0.792                   0.891                   145.4                   
1411.50                 1410.86                 28.79                   31.8                    0.763                   0.830                   145.4                   
1411.75                 1411.16                 23.05                   26.7                    0.728                   0.755                   145.4                   
1412.00                 1411.32                 22.11                   17.4                    0.693                   0.679                   145.4                   
1412.25                 1411.46                 21.32                   17.3                    0.671                   0.631                   145.4                   
1412.50                 1411.81                 19.78                   17.1                    0.634                   0.558                   145.4                   
1412.75                 1412.06                 18.72                   16.9                    0.624                   0.542                   145.4                   
1413.00                 1412.30                 17.66                   17.3                    0.612                   0.524                   145.4                   
1413.25                 1412.55                 16.59                   18.1                    0.596                   0.500                   145.4                   
1413.50                 1412.79                 15.53                   18.8                    0.601                   0.528                   145.4                   
1413.75                 1413.04                 14.47                   18.3                    0.606                   0.543                   145.4                   
1414.00                 1413.28                 13.41                   17.9                    0.613                   0.564                   145.4                   
1414.25                 1413.53                 12.35                   14.5                    0.618                   0.587                   145.4                   
1414.50                 1413.77                 11.29                   18.3                    0.635                   0.676                   145.4                   
1414.75                 1414.02                 10.22                   20.7                    0.656                   0.684                   145.4                   
1415.00                 1414.15                 9.67                    17.4                    0.670                   0.707                   145.4                   
1415.25                 1414.45                 11.06                   18.1                    0.686                   0.733                   145.4                   
1415.50                 1414.75                 15.29                   19.4                    0.702                   0.759                   145.4                   
1415.75                 1415.05                 21.66                   20.7                    0.718                   0.785                   145.4                   
1416.00                 1415.34                 25.30                   19.1                    0.741                   0.822                   145.4                   
1416.25                 1415.49                 27.56                   17.4                    0.736                   0.779                   145.4                   
1416.50                 1415.64                 29.92                   15.8                    0.723                   0.676                   145.4                   
1416.75                 1415.94                 36.57                   14.5                    0.719                   0.670                   145.4                   
1417.00                 1416.24                 40.09                   15.6                    0.712                   0.659                   145.4                   
1417.25                 1416.54                 42.38                   16.5                    0.705                   0.649                   145.4                   
1417.50                 1416.84                 48.70                   17.4                    0.700                   0.681                   145.4                   
1417.75                 1416.96                 48.81                   17.9                    0.697                   0.691                   145.4                   
1418.00                 1417.14                 48.95                   21.7                    0.683                   0.685                   145.4                   
1418.25                 1417.44                 48.12                   25.1                    0.663                   0.649                   145.4                   
1418.50                 1417.73                 43.29                   17.4                    0.638                   0.522                   145.4                   
1418.75                 1418.03                 36.82                   22.7                    0.621                   0.603                   145.4                   
1419.00                 1418.19                 36.55                   25.1                    0.615                   0.516                   145.4                   
1419.25                 1418.33                 36.30                   26.5                    0.608                   0.536                   145.4                   
1419.50                 1418.63                 36.12                   27.5                    0.600                   0.564                   145.4                   
1419.75                 1418.93                 35.64                   27.2                    0.596                   0.542                   145.4                   
1420.00                 1419.23                 36.58                   34.7                    0.591                   0.511                   145.4                   
1420.25                 1419.53                 36.89                   40.0                    0.589                   0.486                   145.4                   
1420.50                 1419.66                 36.64                   42.8                    0.587                   0.530                   145.4                   
1420.75                 1419.82                 36.30                   41.3                    0.585                   0.559                   145.4                   
1421.00                 1420.12                 35.41                   40.1                    0.583                   0.588                   145.4                   
1421.25                 1420.42                 44.70                   35.1                    0.581                   0.618                   145.4                   
1421.50                 1420.72                 35.18                   36.3                    0.578                   0.633                   145.4                   
1421.75                 1420.88                 29.54                   35.2                    0.573                   0.588                   145.4                   
1422.00                 1421.02                 24.62                   36.9                    0.555                   0.565                   145.4                   
1422.25                 1421.32                 25.20                   29.2                    0.535                   0.541                   145.4                   
1422.50                 1421.61                 18.87                   28.8                    0.514                   0.518                   145.4                   
1422.75                 1421.91                 16.64                   28.5                    0.493                   0.495                   145.4                   
1423.00                 1422.21                 15.73                   28.2                    0.478                   0.472                   145.4                   
1423.25                 1422.35                 21.82                   27.9                    0.500                   0.448                   145.4                   
1423.50                 1422.51                 29.10                   27.6                    0.517                   0.425                   145.4                   
1423.75                 1422.81                 39.83                   27.3                    0.535                   0.402                   145.4                   
1424.00                 1423.10                 54.96                   27.0                    0.560                   0.459                   145.4                   
1424.25                 1423.40                 48.81                   26.7                    0.720                   0.562                   145.4                   
1424.50                 1423.57                 47.75                   18.7                    0.884                   0.537                   145.4                   
1424.75                 1423.70                 46.91                   21.5                    1.219                   0.532                   145.4                   
1425.00                 1424.00                 45.91                   21.0                    1.554                   0.527                   145.4                   
1425.25                 1424.30                 45.72                   20.6                    1.156                   0.522                   145.4                   
1425.50                 1424.59                 37.21                   20.2                    0.587                   0.537                   145.4                   
1425.75                 1424.89                 27.53                   19.8                    0.587                   0.590                   145.4                   
1426.00                 1425.03                 23.47                   19.8                    0.586                   0.591                   145.4                   
1426.25                 1425.19                 19.04                   21.7                    0.587                   0.453                   145.4                   
1426.50                 1425.49                 17.73                   22.2                    0.592                   0.492                   145.4                   
1426.75                 1425.78                 17.52                   20.9                    0.584                   0.518                   145.4                   
1427.00                 1426.08                 16.05                   22.7                    0.578                   0.537                   145.4                   
1427.25                 1426.25                 14.84                   24.7                    0.573                   0.550                   145.4                   
1427.50                 1426.38                 13.97                   26.9                    0.572                   0.557                   145.4                   
1427.75                 1426.68                 10.88                   25.8                    0.584                   0.578                   145.4                   
1428.00                 1426.97                 7.80                    25.2                    0.576                   0.607                   145.4                   
1428.25                 1427.27                 10.81                   15.6                    0.574                   0.638                   145.4                   
1428.50                 1427.57                 6.33                    22.3                    0.582                   0.567                   145.4                   
1428.75                 1427.72                 7.01                    22.2                    0.585                   0.555                   145.4                   
1429.00                 1427.87                 7.68                    21.2                    0.580                   0.561                   145.4                   
1429.25                 1428.16                 29.80                   23.6                    0.577                   0.574                   145.4                   
1429.50                 1428.46                 46.71                   25.0                    0.580                   0.637                   145.4                   
1429.75                 1428.76                 29.64                   30.7                    0.577                   0.577                   145.4                   
1430.00                 1429.06                 19.79                   30.9                    0.577                   0.537                   145.4                   
1430.25                 1429.18                 16.45                   32.7                    0.571                   0.512                   145.4                   
1430.50                 1429.35                 11.87                   28.3                    0.570                   0.575                   145.4                   
